Date,Max_Temp,Min_Temp,Avg_Temp,Temp_Departure,HDD,CDD,Precipition,New_Snow,Snow_Depth
42005,39,27,33,-0.4,32,0,0,0,0
42006,42,35,38.5,5.2,26,0,0,0,0
42007,42,33,37.5,4.4,27,0,0.71,0,0
42008,56,41,48.5,15.5,16,0,0.3,0,0
42009,49,21,35,2.1,30,0,0,0,0
42010,22,19,20.5,-12.3,44,0,0.05,1,0
42011,23,9,16,-16.7,49,0,0,0,1
42012,21,8,14.5,-18.1,50,0,0,0,0
42013,33,19,26,-6.5,39,0,0.07,1.5,0
42014,23,16,19.5,-12.9,45,0,0,0,1
42015,37,18,27.5,-4.9,37,0,0,0,1
42016,39,35,37,4.7,28,0,0.36,0,0
42017,36,17,26.5,-5.8,38,0,0,0,0
42018,32,16,24,-8.3,41,0,0,0,0
42019,35,25,30,-2.3,35,0,0,0,0
42020,43,20,31.5,-0.7,33,0,0,0,0
42021,32,17,24.5,-7.7,40,0,0,0,0
42022,42,31,36.5,4.2,28,0,2.1,0,0
42023,42,36,39,6.7,26,0,0,0,0
42024,40,32,36,3.7,29,0,0,0,0
42025,36,25,30.5,-1.8,34,0,0,0,0
42026,40,31,35.5,3.1,29,0,0,0,0
42027,39,28,33.5,1.1,31,0,0,0,0
42028,39,33,36,3.5,29,0,0.72,3.6,3
42029,42,31,36.5,4,28,0,0,0,2
42030,31,22,26.5,-6.1,38,0,0.48,5.5,2
42031,30,20,25,-7.7,40,0,0.36,4.3,8
42032,34,16,25,-7.8,40,0,0,0,8
42033,36,19,27.5,-5.4,37,0,0.02,0,6
42034,38,19,28.5,-4.5,36,0,0.06,1,7
42035,26,13,19.5,-13.6,45,0,0,0,7
42036,36,20,28,-5.2,37,0,0.03,0.3,6
42037,34,14,24,-9.3,41,0,1.02,5,7
42038,26,13,19.5,-13.9,45,0,0,0,8
42039,43,24,33.5,0,31,0,0,0,8
42040,42,14,28,-5.7,37,0,0,0,8
42041,27,12,19.5,-14.3,45,0,0,0,8
42042,40,25,32.5,-1.4,32,0,0.02,0,8
42043,37,29,33,-1.1,32,0,0,0,8
42044,29,25,27,-7.2,38,0,0.09,0,8
42045,40,26,33,-1.4,32,0,0.01,0.1,8
42046,34,22,28,-6.5,37,0,0,0,8
42047,40,16,28,-6.7,37,0,0,0,8
42048,21,8,14.5,-20.4,50,0,0,0,8
42049,32,16,24,-11,41,0,0.02,0.9,8
42050,25,4,14.5,-20.7,50,0,0,0,9
42051,21,3,12,-23.4,53,0,0,0,9
42052,27,14,20.5,-15.1,44,0,0.14,3.3,12
42053,33,19,26,-9.7,39,0,0,0,9
42054,27,8,17.5,-18.4,47,0,0,0,9
42055,19,2,10.5,-25.6,54,0,0,0,9
42056,32,13,22.5,-13.8,42,0,0.61,3,9
42057,43,32,37.5,1,27,0,0.1,1,13
42058,38,8,23,-13.7,42,0,0,0,12
42059,24,4,14,-23,51,0,0,0,12
42060,37,20,28.5,-8.7,36,0,0,0,12
42061,32,21,26.5,-10.9,38,0,0,0,11
42062,30,18,24,-13.6,41,0,0,0,11
42063,29,13,21,-16.9,44,0,0,0,11
42064,31,24,27.5,-10.6,37,0,0.52,4.8,10
42065,39,27,33,-5.3,32,0,0,0,15
42066,37,22,29.5,-9.1,35,0,0.67,1.8,14
42067,45,35,40,1.2,25,0,0.25,0,13
42068,40,19,29.5,-9.6,35,0,0.76,7.5,13
42069,27,12,19.5,-19.9,45,0,0,0,19
42070,38,18,28,-11.6,37,0,0,0,18
42071,49,37,43,3.1,22,0,0,0,16
42072,54,40,47,6.8,18,0,0.01,0,13
42073,53,39,46,5.5,19,0,0.46,0,11
42074,59,44,51.5,10.8,13,0,0.01,0,6
42075,47,36,41.5,0.5,23,0,0,0,4
42076,43,31,37,-4.3,28,0,0,0,2
42077,51,40,45.5,3.9,19,0,0.81,0,1
42078,44,36,40,-2,25,0,0,0,0
42079,52,35,43.5,1.2,21,0,0,0,0
42080,57,34,45.5,2.9,19,0,0.02,0,0
42081,39,29,34,-8.9,31,0,0,0,0
42082,43,29,36,-7.2,29,0,0,0,0
42083,38,29,33.5,-10.1,31,0,0.4,4.5,0
42084,47,29,38,-5.9,27,0,0,0,5
42085,43,28,35.5,-8.7,29,0,0,0,0
42086,38,23,30.5,-14.1,34,0,0,0,0
42087,45,26,35.5,-9.4,29,0,0,0,0
42088,49,34,41.5,-3.8,23,0,0.05,0,0
42089,62,42,52,6.4,13,0,0.32,0,0
42090,46,39,42.5,-3.5,22,0,0.27,0,0
42091,40,26,33,-13.4,32,0,0,0,0
42092,46,25,35.5,-11.2,29,0,0,0,0
42093,54,36,45,-2.1,20,0,0,0,0
42094,47,35,41,-6.5,24,0,0.17,0,0
42095,51,32,41.5,-6.3,23,0,0,0,0
